User_ID,Session_ID,Timestamp,Input_Type,Response_Time_Seconds,Character_Count_Input,Character_Count_Response,Tokens_Used,Sentiment_Score_Input,Sentiment_Score_Response,User_Rating,Category,Language,Progress
U0001,S000001,2023-02-28 04:50:00,voice,5.93,439,458,66,-1,-1,5,creative,Chinese,0.0
U0002,S000002,2023-01-11 03:12:00,text,14.29,179,369,48,-1,1,3,creative,German,0.04
U0003,S000003,2023-01-03 06:38:00,image,11.11,243,709,298,1,1,3,creative,French,0.08
U0004,S000004,2023-03-09 11:56:00,image,9.18,264,828,27,0,-1,1,educational,Chinese,0.12
U0005,S000005,2023-01-26 00:48:00,image,2.76,395,39,229,0,-1,5,business,French,0.16
U0006,S000006,2023-01-23 06:58:00,image,2.76,369,788,253,0,-1,5,creative,English,0.2
U0007,S000007,2023-01-21 07:36:00,text,1.34,167,997,292,1,0,3,educational,Chinese,0.24
U0008,S000008,2023-01-13 16:49:00,voice,13.06,52,117,83,0,1,4,business,German,0.28
U0009,S000009,2023-03-09 00:50:00,voice,9.22,333,853,119,1,-1,4,business,Chinese,0.32
U0010,S000010,2023-01-10 07:54:00,text,10.77,332,944,189,0,0,1,creative,Spanish,0.36
U0011,S000011,2023-03-03 14:16:00,voice,0.8,120,611,41,-1,1,4,educational,German,0.4
U0012,S000012,2023-03-09 10:00:00,text,14.56,433,726,243,1,0,4,educational,German,0.44
U0013,S000013,2023-02-19 15:22:00,text,12.57,341,900,291,0,0,4,educational,Chinese,0.48
U0014,S000014,2023-01-08 21:55:00,text,3.58,341,977,34,-1,-1,2,support,French,0.52
U0015,S000015,2023-02-23 17:57:00,text,3.14,373,968,288,-1,1,1,support,Spanish,0.56
U0016,S000016,2023-02-08 09:42:00,voice,3.16,229,969,235,-1,0,3,support,English,0.6
U0017,S000017,2023-01-03 21:25:00,voice,4.91,356,454,66,1,1,4,business,German,0.64
U0018,S000018,2023-01-03 17:05:00,text,8.11,332,902,189,1,-1,2,creative,Spanish,0.68
U0019,S000019,2023-01-09 12:40:00,image,6.76,151,447,241,0,1,4,business,English,0.72
U0020,S000020,2023-01-20 21:37:00,text,4.72,67,741,296,-1,0,2,casual,English,0.76
U0021,S000021,2023-01-22 04:15:00,text,9.37,298,899,73,0,0,1,casual,Chinese,0.8
U0022,S000022,2023-02-15 23:57:00,voice,2.52,327,615,241,0,1,4,creative,Spanish,0.84
U0023,S000023,2023-02-24 19:07:00,text,4.74,447,466,298,-1,0,2,educational,Spanish,0.88
U0024,S000024,2023-01-03 09:58:00,image,5.81,329,624,222,0,0,5,support,English,0.92
U0025,S000025,2023-02-21 02:03:00,voice,7.11,17,744,267,1,0,5,creative,Chinese,0.96
U0026,S000026,2023-01-19 02:22:00,voice,11.89,435,707,27,0,-1,2,casual,Chinese,1.0
U0027,S000027,2023-03-07 04:10:00,voice,3.4,498,990,184,-1,-1,4,support,English,1.04
U0028,S000028,2023-03-01 03:41:00,text,7.96,193,705,238,1,0,4,business,Chinese,1.08
U0029,S000029,2023-03-05 20:04:00,text,9.09,291,504,235,1,1,1,creative,English,1.12
U0030,S000030,2023-02-19 14:26:00,image,1.17,212,683,93,0,-1,1,support,German,1.16
U0031,S000031,2023-02-08 04:27:00,voice,9.31,118,256,255,0,1,3,creative,Spanish,1.2
U0032,S000032,2023-01-21 01:33:00,image,2.97,484,552,119,1,0,1,educational,German,1.24
U0033,S000033,2023-02-10 21:18:00,text,1.44,26,573,263,0,0,4,casual,German,1.28
U0034,S000034,2023-02-23 15:16:00,voice,14.26,353,866,97,-1,1,3,creative,English,1.32
U0035,S000035,2023-01-26 07:43:00,text,14.5,218,597,81,0,-1,1,casual,French,1.36
U0036,S000036,2023-01-01 14:11:00,voice,12.22,175,906,39,0,1,2,creative,French,1.4
U0037,S000037,2023-03-11 01:38:00,image,4.92,327,448,181,1,1,5,business,Chinese,1.44
U0038,S000038,2023-01-15 12:46:00,voice,1.92,58,287,186,0,0,1,creative,Spanish,1.48
U0039,S000039,2023-03-05 13:06:00,voice,10.42,398,561,148,0,-1,1,educational,German,1.52
U0040,S000040,2023-02-08 11:12:00,voice,6.88,302,622,203,0,1,2,support,English,1.56
U0041,S000041,2023-01-31 23:17:00,image,2.27,324,120,195,-1,-1,4,business,German,1.6
U0042,S000042,2023-01-26 07:01:00,voice,7.68,130,394,227,0,0,2,creative,Chinese,1.64
U0043,S000043,2023-01-15 03:39:00,image,1.0,281,842,173,-1,-1,1,casual,French,1.68
U0044,S000044,2023-01-20 14:21:00,image,13.69,468,770,170,-1,0,4,casual,French,1.72
U0045,S000045,2023-01-31 15:18:00,image,4.25,208,200,22,-1,-1,3,casual,Chinese,1.76
U0046,S000046,2023-01-10 07:16:00,voice,10.11,198,499,98,-1,1,1,business,French,1.8
U0047,S000047,2023-01-09 10:36:00,voice,5.02,173,703,51,1,0,2,support,French,1.84
U0048,S000048,2023-02-04 13:57:00,voice,8.04,156,435,219,-1,1,3,support,French,1.88
U0049,S000049,2023-01-09 19:16:00,text,8.43,39,414,238,0,0,5,creative,German,1.92
U0050,S000050,2023-02-02 16:12:00,voice,3.18,188,344,284,-1,-1,3,business,Chinese,1.96
U0051,S000051,2023-02-01 07:22:00,text,14.56,290,218,288,0,-1,2,business,German,2.0
